"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2125.03/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x9fefe28baa7cbe05172c358298b813ce0659fb79c2d1af1c75cd82dd6c828069","16822283","1678749479","2023-03-13 23:17:59","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x00000000000001ad428e4906ae43d8f9852d0dd6","","0","0.54","1147.5162","0.002855952065920176","6.06898381864235","1681.01","","","0x00000000",""
"0x742cedf20c2c324f8a9d4dc04d7e6d5cd56449ec731e1d8227f4e7cc15bafabf","16835852","1678914371","2023-03-15 21:06:11","0xb287eac48ab21c5fb1d3723830d60b4c797555b0","0x8301305a53cb5211bcef48c01d63acdfbee716d6","","0.0286","0","60.775858","0.008636138405307","18.3520531954295","1656.21","","","Transfer",""
"0x5c7cdaf6ffa574435cf8b8663b1ad884889e1342f0978151bfa8a5867140f352","16835990","1678916027","2023-03-15 21:33:47","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x881d40237659c251811cec9c364ef91dc08d300c","","0","0","0","0.0063669160917594","13.5298877024715","1656.21","","","Swap",""
"0x0bba1bad7065f1c6fd64cb7559f7b2f7cf23d81a79c4206c3e3e77a13d9f2a08","16836015","1678916327","2023-03-15 21:38:47","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x55f88bc714bca30bafdc92dd811a4ce1169fa1c6","","0","0.07241","153.8734223","0.000514990591269","1.09437045616436","1656.21","","","Transfer",""
"0x454678ef5e8e764d6be0af88041236bed631439ea85927ddd818d28dfda810bc","16870921","1679339963","2023-03-20 19:19:23","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x881d40237659c251811cec9c364ef91dc08d300c","","0","0","0","0.005540608630222803","11.7739595574824","1738.45","","","Swap",""
"0xe7a17b47d89ff775ef5445ab19e12ac4ca2b2a4bb459134400b08c28c1321a4f","16871754","1679350067","2023-03-20 22:07:47","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x00000000000001ad428e4906ae43d8f9852d0dd6","","0","0.2","425.006","0.003594374614525052","7.63815388710417","1738.45","","","Fulfill Advanced Order",""
"0x8f256c07c5419b0aea171bd583cec990bff96fb91910a2189b275a066338f064","16884137","1679500319","2023-03-22 15:51:59","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x881d40237659c251811cec9c364ef91dc08d300c","","0","0.1","212.503","0.00636857751662682","13.5334182801575","1738.86","","","Swap",""
"0x90cbe2d781bed558a253de28dc119205c6c2043a0096ba8dfd3da720147f6915","16900788","1679702531","2023-03-25 00:02:11","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x32400084c286cf3e17e7b677ea9583e60a000324","","0","0.010474123160555168","22.2578259398746","0.002383344012401202","5.06467752667293","1743.88","","","Request L2Transaction",""
"0x839b57acc1d061b4e04ff487d76cb8a1b5289375c1bd40280bd45f90157c78ff","16919378","1679928083","2023-03-27 14:41:23","0xb287eac48ab21c5fb1d3723830d60b4c797555b0","0x8301305a53cb5211bcef48c01d63acdfbee716d6","","0.0544","0","115.601632","0.000910528133865","1.93489960030714","1716.16","","","Transfer",""
"0x793b4cb887979342624aed3403ad79ebf7f0ad5e8e909023ed0ec2f6be8054b0","16919392","1679928251","2023-03-27 14:44:11","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x32400084c286cf3e17e7b677ea9583e60a000324","","0","0.020983163430633412","44.5898517849989","0.005537048547002049","11.7663942738358","1716.16","Error(0)","execution reverted","Request L2Transaction",""
"0x615ac2abdf92665761b2b9a26339ec24f3e3d9eb80588dc65b4796c28bb6bb95","16919395","1679928299","2023-03-27 14:44:59","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x32400084c286cf3e17e7b677ea9583e60a000324","","0","0.010927033239564978","23.2202734450728","0.005834387146751878","12.3982477184621","1716.16","Error(0)","execution reverted","Request L2Transaction",""
"0x814103fb391cbdc93ae326f5227a571044f1c1302282f295b4151d8f2153a6d1","16919418","1679928575","2023-03-27 14:49:35","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x32400084c286cf3e17e7b677ea9583e60a000324","","0","0.01086299266794636","23.0841853091661","0.004937907624419594","10.4932018391204","1716.16","Error(0)","execution reverted","Request L2Transaction",""
"0xcae167db9cbfbe9bd9d75690e840d7667517cf77f8922b5681813ff8ba53a5d0","16921524","1679954123","2023-03-27 21:55:23","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x32400084c286cf3e17e7b677ea9583e60a000324","","0","0.003611961130167828","7.67552576044054","0.003631431843282159","7.71690160992989","1716.16","Error(0)","execution reverted","Request L2Transaction",""
"0x9a1ccb484f8499a24784938dff76b94f4d0e62f11b5a1afd9c87948c8b3bb030","16933738","1680102479","2023-03-29 15:07:59","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x881d40237659c251811cec9c364ef91dc08d300c","","0","0","0","0.00891448241202297","18.9435425600212","1793.51","","","Swap",""
"0xdbbdb2c1ba9403346fa21c0ef461880bc8d2d0c25af6a1fffa97d707bb8c43ef","16933741","1680102515","2023-03-29 15:08:35","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0.042713198996785053","90.7668292641382","0.006860677032660779","14.5791445147151","1793.51","","","Execute",""
"0x960a073042b27a3b36e82c9a57ebe44be154b6650c983ec3f6200a44397a5d03","16975879","1680615671","2023-04-04 13:41:11","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0xaea46a60368a7bd060eec7df8cba43b7ef41ad85","","0","0","0","0.001450693113020438","3.08276638596182","1871.62","","","Approve",""
"0x2c241c09522dd471aabd70ce54254d21611caa34011f04eb15874bed2fd4c4c5","16975879","1680615671","2023-04-04 13:41:11","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x881d40237659c251811cec9c364ef91dc08d300c","","0","0","0","0.005554288969201308","11.8030306882219","1871.62","","","Swap",""
"0x85cc50f62324e2bbd256f36f3c663d5df875587d07298b093947cdbe5cc2a929","16986161","1680741755","2023-04-06 00:42:35","0x8301305a53cb5211bcef48c01d63acdfbee716d6","0x55f88bc714bca30bafdc92dd811a4ce1169fa1c6","","0","0.05274","112.0740822","0.00061266723021","1.30193624421316","1873.09","","","Transfer",""
